Index,Alternatives - Global Macro,Alternative - Liquid Alts,Alternatives - Hedge Funds,Cash,Commodities - Commodities ex Precious Metals,Commodities - Gold,Equity - Asia ex Japan (USD),Equity - EU (USD),Equity - Japan (USD),Equity - China A (USD),Equity - US Large Cap,Equity - US Large Cap Growth,Equity - US Large Cap Value,Equity - US Small Cap,Equity - Global ex US (USD),Equity - EM (USD),Fixed Income -Mortgage-Backed Assets,Fixed Income - US High Yield,Fixed Income - US Investment Grade,Fixed Income - EM (USD),Fixed Income - US Treasury,Fixed Income - EUR Treasury,Fixed Income - EM Local CCY (USD Hedge),Fixed Income - GBP Gilts,Finxed Income - CAD,Fixed Income - AUD,Fixed Income - JPY,Fixed Income - MUST DELETE,Equity - Preferred Stock,Equity - REIT,Fixed Income - Aggregate,Fixed Income - Short Duration,Fixed Income - Sovereign & Agency,Fixed Income - Municipals,Equity - Emerging Markets,Fixed Income - China Treasury
Alternatives - Global Macro,1,0.088095416,0.15039636,-0.102012092,0.090362257,0.03413487,0.115827648,0.097189338,0.119523576,0.17646885,0.125641071,0.159673861,0.123372547,0.076323892,0.093646033,0.178251558,-0.271776989,0.054388456,-0.063338981,-0.027550326,-0.215216367,0.087494194,0.107364266,-0.169362321,-0.0975859,-0.032940593,-0.071061952,-0.193426762,-0.051778059,-0.160592611,-0.1166943,-0.155042762,-0.164819333,-0.093339907,0.133949384,0.177766637
Alternative - Liquid Alts,0.088095416,1,0.98876326,-0.529175499,0.747015719,0.167833375,0.817130281,0.921840479,0.698897085,0.643815519,0.912878567,0.832444939,0.904836635,0.882078008,0.936035159,0.830650916,-0.248418895,0.932088322,0.707306436,0.82218169,-0.447663357,0.815181554,0.429090432,-0.257605245,0.287983319,-0.175872965,0.149813562,-0.382681113,0.816360287,0.872988656,0.433098443,-0.08712422,0.39230331,0.372117923,0.871673813,0.260020968
Alternatives - Hedge Funds,0.15039636,0.98876326,1,-0.590143325,0.722696197,0.286398635,0.808282155,0.916155359,0.643568403,0.643691155,0.916750281,0.828848097,0.92089515,0.887426817,0.934193214,0.904510621,-0.407284414,0.951190919,0.814322697,0.879059504,-0.534577146,0.84667363,0.423851294,-0.191259641,0.421447935,-0.170140834,0.300147599,-0.283885638,0.918748893,0.934728647,0.569505742,0.007776165,0.494067094,0.438617401,0.899466348,0.297169907
Cash,-0.102012092,-0.529175499,-0.590143325,1,-0.457104568,-0.020069877,-0.452376555,-0.500807757,-0.36734237,-0.271511541,-0.449942134,-0.451798829,-0.389154282,-0.57585724,-0.487651396,-0.531723497,0.424985532,-0.534747149,-0.396137502,-0.469165766,0.422821428,-0.502693148,-0.353116351,0.201018896,-0.177276613,0.21851236,0.010230254,0.231146391,-0.47397655,-0.37957931,-0.207088947,0.283308337,-0.134114459,-0.192224681,-0.459703335,-0.126559041
Commodities - Commodities ex Precious Metals,0.090362257,0.747015719,0.722696197,-0.457104568,1,-0.024547818,0.673542437,0.765357103,0.68804854,0.52804873,0.66983465,0.599165383,0.688601597,0.61641837,0.768444494,0.682301639,-0.43120338,0.704514332,0.313302016,0.588218191,-0.657410049,0.678365787,0.575093177,-0.537080855,-0.185167307,-0.500909554,-0.083408909,-0.454657354,0.479523391,0.655960011,0.074152026,-0.344659021,0.029978175,0.221207561,0.727435278,0.212277348
Commodities - Gold,0.03413487,0.167833375,0.286398635,-0.020069877,-0.024547818,1,0.291858526,0.200686576,-0.150284758,0.400969032,0.170969487,0.221514228,0.099486377,0.151117446,0.228344508,0.345925302,0.297424908,0.234798104,0.427803912,0.34743088,0.389356314,0.161880911,-0.071483854,0.28863873,0.369617921,0.063918319,0.332660567,0.170998245,0.274294482,0.158901192,0.72767488,0.472514386,0.446654898,0.220569907,0.313149746,0.26525413
Equity - Asia ex Japan (USD),0.115827648,0.817130281,0.808282155,-0.452376555,0.673542437,0.291858526,1,0.846379306,0.603211208,0.801083324,0.800117172,0.768762593,0.761703833,0.738895962,0.907604733,0.863922427,-0.148167957,0.680382597,0.485017863,0.598143149,-0.359199504,0.540914782,0.398409308,-0.358337922,0.18642939,-0.379137752,-0.005086155,-0.229297805,0.551007277,0.648944674,0.445043886,-0.077298949,0.193698629,0.130985829,0.956593626,0.524310095
Equity - EU (USD),0.097189338,0.921840479,0.916155359,-0.500807757,0.765357103,0.200686576,0.846379306,1,0.775366202,0.6724436,0.879515804,0.802566069,0.878847459,0.819427194,0.980204266,0.894680662,-0.319309391,0.84157219,0.555506927,0.756316625,-0.542767452,0.746616282,0.510376885,-0.437308682,0.076287393,-0.389411431,-0.064575121,-0.410098335,0.676682906,0.756958013,0.335695828,-0.166635347,0.219032649,0.225878801,0.900193346,0.267999916
Equity - Japan (USD),0.119523576,0.698897085,0.643568403,-0.36734237,0.68804854,-0.150284758,0.603211208,0.775366202,1,0.431607023,0.780872609,0.726458449,0.78955037,0.699694079,0.780560292,0.567257598,-0.390236766,0.545238946,0.163618933,0.402608016,-0.631013058,0.452433807,0.381155504,-0.500858252,-0.145915539,-0.460348569,-0.357772742,-0.539748325,0.440980593,0.552919991,-0.123637437,-0.389928971,-0.128682357,-0.056860403,0.622942918,0.125811335
Equity - China A (USD),0.17646885,0.643815519,0.643691155,-0.271511541,0.52804873,0.400969032,0.801083324,0.6724436,0.431607023,1,0.644383149,0.656486822,0.577785954,0.578085107,0.709339206,0.725621993,-0.085683443,0.569849849,0.443973878,0.54332967,-0.165138581,0.452508317,0.284138412,-0.229355311,0.170044836,-0.227321774,0.046357331,-0.232643579,0.427742798,0.433042993,0.420220697,0.035265179,0.241021463,0.163730859,0.754967611,0.332012634
