ISIN,Asset Class,Sub Asset Class,Sub Asset Class (PowerPoint),Benchmark,Fund Name,Fund Type,Geographic Focus,Legal Structure,Domicile,Domicle Code,Launch Date,Currency,Fund Company,Portfolio Manager,Custodian,Minimum Initial Investment,Minimum Regular Investment,Minimum Irregular Investment,Income Distribution Indicator,Ex Dividend Date,Dividend Payment,Number Of Dividend Payment Per Year,Objective,Minimum Initial Charge,Maximum Initial Charge,Current Initial Charge,Minimum Annual Charge,Maximum Annual Charge,Current Annual Charge,Minimum Redemption Charge,Maximum Redemption Charge,Current Redemption Charge,Classification Scheme Name,Classification Sector Scheme,Cross Reference ID Type,Identifier Type,Total Expense Ratio,Total Expense Ratio Date,Projected Yield,Benchmark Type,Benchmark Name,Benchmark Instrument Code,Benchmark Instrument RIC,NAV,Is NAV Estimated Flag,Bid,Is Bid Estimated Flag,Mid,Is Mid Estimated Flag,Offer,Is Offer Estimated Flag,Total Net Assets
IE0004345025,Equity,Large Cap Value,US LARGE CAP VALUE, Russell 1000 Value TR,AXA Rosenberg US Equity Alpha B USD,Equity,United States of America,Unit trust,Ireland,IRL,5/31/2000,USDollar,AXA Rosenberg Management Ireland Ltd,Harry Prabandham,State Street Custodial Services (Ireland) Ltd,5000,,2000,Retained,,,,To provide long-term capital appreciation with a total return greater than the return of the S&P 500 Index on a rolling 3-year basis. The fund will primarily (meaning not less than 75% of the Net Asset Value) invest in equity securities traded principally on Regulated Markets that are issued by companies that have their registered office or carry out a predominant portion of their economic activity (meaning not less than 51%) in the US.,,4.5,,,,1.35,,,0,Lipper Global,Equity US,ISIN Code,IE0004345025,1.43,2/19/2021,,AssetManager,S&P 500 TR,11000696,.SPXTR,35.65,1,,,,,,,34917333.82
LU0210536511,Equity,Large Cap Value,US LARGE CAP VALUE, Russell 1000 Value TR,JPM US Value A Acc USD,Equity,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,3/31/2005,USDollar,JPMorgan Asset Management (Europe) SARL,"Clare Hart, Andrew Brandon",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,,,,"To provide long-term capital growth by investing primarily in a value style biased portfolio of US companies. At least 67% of the Sub-Funds assets (excluding cash and cash equivalents) will be invested in a value style biased portfolio of equity securities of companies that are domiciled in, or carrying out the main part of their economic activity in, the US. The Sub-Fund may also invest in Canadian companies.",,5,5,,1.5,1.5,,0.5,0.5,Lipper Global,Equity US,ISIN Code,LU0210536511,1.71,8/19/2020,,AssetManager,Russell 1000 Value NR,11042944,,32.29,0,32.13,0,,,33.9,0,543270990.5
LU0125979160,Equity,Large Cap Value,US LARGE CAP VALUE, Russell 1000 Value TR,MFS Meridian Funds-US Value A1 USD,Equity,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,2/1/2002,USDollar,MFS Investment Management Company Lux SARL,"Steven Gorham, Nevin Chitkara",State Street Bank International GmbH (Luxembourg Branch),1,,,Retained,,,,The Fund invests primarily (at least 70%) in U.S. equity securities. The Fund may also invest in non-U.S. equity securities. The Fund generally focuses its investments in larger companies and companies it believes to be undervalued compared to their perceived worth (value companies). The Investment Manager may consider ESG factors in its fundamental investment analysis alongside other factors.,,6,,,,1.05,,,0,Lipper Global,Equity US,ISIN Code,LU0125979160,1.92,9/18/2020,,AssetManager,Russell 1000 Value TR,11000690,.RLVTRI,37.38,1,,,,,,,929762200
IE00BD1F4M44,Equity,Large Cap Value,US LARGE CAP VALUE, Russell 1000 Value TR,iShares Edge MSCI USA Val Factor UCITS ETF USD Acc,Equity,United States of America,ICVC,Ireland,IRL,10/13/2016,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the MSCI USA Enhanced Value Index. The Index aims to reflect the performance characteristics of a subset of securities within the MSCI USA Index (Parent Index) which are selected as having value factor.",,,,,,,,,,Lipper Global,Equity US,ISIN Code,IE00BD1F4M44,0.2,2/3/2021,,AssetManager,MSCI USA Enhanced Value TR USD,11056644,.dMIUS000EVGUS,8.8993,1,,,,,,,4119408617
LU0073232471,Equity,Large Cap Growth,US LARGE CAP GROWTH,Russell 1000 Growth TR,MS INVF US Growth A USD,Equity,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,2/1/1997,USDollar,MSIM Fund Management (Ireland) Ltd,"Dennis Lynch, Sam Chainani, Jason Yeung, Armistead Nash, David Cohen, Alexander Norton",JP Morgan Bank Luxembourg SA,0,,,Retained,,,,"The US Growth Funds investment objective is to seek long term capital appreciation, measured in US Dollars, by investing primarily in securities issued by US companies and on an ancillary basis in securities issued by companies that are not from the US.",,5.75,,,,1.4,,,0,Lipper Global,Equity US,ISIN Code,LU0073232471,1.64,12/31/2020,,AssetManager,Index is not available on Lipper Database,11000000,,295.14,0,295.14,0,,,295.14,0,3288541900
LU0079474960,Equity,Large Cap Growth,US LARGE CAP GROWTH,Russell 1000 Growth TR,AB SICAV I-American Growth Portfolio A USD,Equity,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,5/4/2018,USDollar,AllianceBernstein (Luxembourg) S.a r.l.,"Frank Caruso, John Fogarty, Vinay Thapar",Brown Brothers Harriman (Luxembourg) SCA,2000,,750,Retained,,,,"The investment objective of the Portfolio is long-term growth of capital primarily through investment in equity securities of U.S. issuers. The Portfolio seeks to invest predominantly in equity securities of a limited number of large, carefully selected, high-quality U.S. companies that, in the judgment of the Investment Manager, are likely to achieve superior earnings growth. Under normal circumstances, the Portfolio invests at least 80% of its net assets in equity securities issued by companies having their registered office in the United States or that carry out the preponderant part of their economic activities in the United States.",,5,,,,1.5,,,0,Lipper Global,Equity US,ISIN Code,LU0079474960,1.73,5/31/2021,,AssetManager,Russell 1000 Growth TR,11000689,.RLGTRI,178.9,1,,,,,,,1998660560
IE00BGK04N24,Equity,Large Cap Growth,US LARGE CAP GROWTH,Russell 1000 Growth TR,Polen Capital Focus U.S. Growth A Ret USD,Equity,United States of America,OEIC,Ireland,IRL,3/10/2014,USDollar,Polen Capital Management LLC,"Dan Davidowitz, Brandon Ladoff",RBC Investor Services Bank S.A. (Dublin),1000,,,Retained,,,,"The investment objective of the Fund is to seek long-term growth of capital. The Fund seeks to achieve its investment objective by investing typically in a focused portfolio of high quality common stocks of large capitalization companies (market capitalisations greater than $4billion at time of purchase) which are listed or traded on Recognised Exchanges in the United States of America and which, in the view of the Investment Manager, have a sustainable competitive advantage.",,5,,,,1.5,,3,,Lipper Global,Equity US,ISIN Code,IE00BGK04N24,1.55,2/12/2021,,AssetManager,Russell 1000 Growth TR GBP,11045089,,38.39,1,,,,,,,4601456190
US4642876142,Equity,Large Cap Growth,US LARGE CAP GROWTH,Russell 1000 Growth TR,iShares Russell 1000 Growth ETF,Equity,United States of America,US - Exchange-Traded Open-end Funds,USA,USA,5/22/2000,USDollar,BlackRock Fund Advisors,Team Managed,State Street Bank and Trust Company,,0,,Paid,6/10/2021,0.302143,4,"The Fund seeks investment returns that correspond generally to the price and yield performance, before fees and expenses, of the Index.  Uses a replication strategy.  The Index measures the performance of the large-capitalization growth sector of the US equity market.",,,0,,,0.19,,,0,Lipper Global,Equity US,ISIN Code,US4642876142,0.19,3/31/2021,0.5176,AssetManager,Russell 1000 Growth TR,11000689,.RLGTRI,280.5,1,,,280.66,1,,,72159029504
LU0124676726,Equity,Large Cap Core,US LARGE CAP BLEND, S&P 500 TR,AB FCP I-Sustainable US Thematic Pf A USD,Equity,United States of America,LU - FCP - Part 1,Luxembourg,LUX,4/24/2001,USDollar,AllianceBernstein (Luxembourg) S.a r.l.,"Daniel C. Roarty, Benjamin Ruegsegger",Brown Brothers Harriman (Luxembourg) SCA,2000,,750,Retained,,,,"The investment objective of the Portfolio is to achieve long-term capital appreciation. The Portfolio pursues opportunistic growth by investing in a universe of US companies in multiple industries that are positively exposed to environmentally- or socially-oriented sustainable investment themes derived from the UN Sustainable Development Goals (UNSDGs). Under normal circumstances, the Portfolio expects to invest at least 80% of its net assets in equity or equity-related securities of issuers located within the US that the Investment Manager believes are positively exposed to sustainable investment themes.",,5,,,,1.5,,,0,Lipper Global,Equity US,ISIN Code,LU0124676726,1.73,5/31/2021,,AssetManager,S&P 500 NR,11027144,.SPXNTR,43.17,1,,,,,,,188769276.4
LU1883872415,Equity,Large Cap Core,US LARGE CAP BLEND, S&P 500 TR,Amundi Funds US Pioneer Fund - A USD C,Equity,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,6/17/2019,USDollar,Amundi Luxembourg SA,Jeffrey Kripke,Societe Generale Luxembourg SA,0,0,0,Retained,,,,"The fund seeks to increase the value of your investment over the recommended holding period. The Sub-Fund invests mainly in a broad range of equities of companies that are based in, or do most of their business in, the U.S.A. The Sub-Fund may invest up to 20% of its assets, at the time of purchase, in securities of non-U.S. companies. The Sub-Fund aims for an improved environmental footprint and sustainability profile compared to the benchmark index by integrating ESG (environmental,social and corporate governance) factors. The Sub-Fund may invest up to 10% of its assets in other UCIs and UCITS.",,4.5,,,1.25,,,,0,Lipper Global,Equity US,ISIN Code,LU1883872415,1.75,6/30/2020,,AssetManager,S&P 500 TR,11000696,.SPXTR,19.38,1,,,,,,,850943900.5
