Date,Alternatives - Global Macro,Alternative - Liquid Alts,Alternatives - Hedge Funds,Cash,Commodities - Commodities ex Precious Metals,Commodities - Gold,Equity - Asia ex Japan (USD),Equity - EU (USD),Equity - Japan (USD),Equity - China A (USD),Equity - US Large Cap,Equity - US Large Cap Growth,Equity - US Large Cap Value,Equity - US Small Cap,Equity - Global ex US (USD),Equity - EM (USD),Fixed Income -Mortgage-Backed Assets,Fixed Income - US High Yield,Fixed Income - US Investment Grade,Fixed Income - EM (USD),Fixed Income - US Treasury,Fixed Income - EUR Treasury,Fixed Income - EM Local CCY (USD Hedge),Fixed Income - GBP Gilts,Finxed Income - CAD,Fixed Income - AUD,Fixed Income - JPY,Fixed Income - MUST DELETE,Equity - Preferred Stock,Equity - REIT,Fixed Income - Aggregate,Fixed Income - Short Duration,Fixed Income - Sovereign & Agency,Fixed Income - Municipals,Equity - Emerging Markets,Fixed Income - China Treasury
1973-01,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,,
1973-02,,,,,,,,,,,,,,,,,,,,,-0.13111,,,,,,,,,,,,,,,
1973-03,,,,,,,,,,,,,,,,,,,,,-0.14139,,,,,,,,,,,,,,,
1973-04,,,,,,,,,,,,,,,,,,,,,0.90008,,,,,,,,,,,,,,,
1973-05,,,,,,,,,,,,,,,,,,,,,0.11025,,,,,,,,,,,,,,,
1973-06,,,,,,,,,,,,,,,,,,,,,0.14017,,,,,,,,,,,,,,,
1973-07,,,,,,,,,,,,,,,,,,,,,-2.23955,,,,,,,,,,,,,,,
1973-08,,,,,,,,,,,,,,,,,,,,,1.59542,,,,,,,,,,,,,,,
1973-09,,,,,,,,,,,,,,,,,,,,,2.39581,,,,,,,,,,,,,,,
1973-10,,,,,,,,,,,,,,,,,,,,,0.92411,,,,,,,,,,,,,,,
1973-11,,,,,,,,,,,,,,,,,,,,,0.46756,,,,,,,,,,,,,,,
1973-12,,,,,,,,,,,,,,,,,,,,,-0.05817,,,,,,,,,,,,,,,
1974-01,,,,,,,,,,,,,,,,,,,,,0.7664,,,,,,,,,,,,,,,
1974-02,,,,,,,,,,,,,,,,,,,,,0.3177,,,,,,,,,,,,,,,
1974-03,,,,,,,,,,,,,,,,,,,,,-1.85221,,,,,,,,,,,,,,,
1974-04,,,,,,,,,,,,,,,,,,,,,-0.78224,,,,,,,,,,,,,,,
1974-05,,,,,,,,,,,,,,,,,,,,,0.84754,,,,,,,,,,,,,,,
1974-06,,,,,,,,,,,,,,,,,,,,,-0.14658,,,,,,,,,,,,,,,
1974-07,,,,,,,,,,,,,,,,,,,,,0.06851,,,,,,,,,,,,,,,
1974-08,,,,,,,,,,,,,,,,,,,,,-0.489,,,,,,,,,,,,,,,
1974-09,,,,,,,,,,,,,,,,,,,,,2.59459,,,,,,,,,,,,,,,
1974-10,,,,,,,,,,,,,,,,,,,,,1.61893,,,,,,,,,,,,,,,
1974-11,,,,,,,,,,,,,,,,,,,,,2.34729,,,,,,,,,,,,,,,
1974-12,,,,,,,,,,,,,,,,,,,,,1.17896,,,,,,,,,,,,,,,
1975-01,,,,,,,,,,,,,,,,,,,,,1.31088,,,,,,,,,,,,,,,
1975-02,,,,,,,,,,,,,,,,,,,,,1.44667,,,,,,,,,,,,,,,
1975-03,,,,,,,,,,,,,,,,,,,,,-0.61116,,,,,,,,,,,,,,,
1975-04,,,,,,,,,,,,,,,,,,,,,-1.29222,,,,,,,,,,,,,,,
1975-05,,,,,,,,,,,,,,,,,,,,,2.03142,,,,,,,,,,,,,,,
1975-06,,,,,,,,,,,,,,,,,,,,,0.59287,,,,,,,,,,,,,,,
1975-07,,,,,,,,,,,,,,,,,,,,,-0.31668,,,,,,,,,,,,,,,
1975-08,,,,,,,,,,,,,,,,,,,,,0.08825,,,,,,,,,,,,,,,
1975-09,,,,,,,,,,,,,,,,,,,,,-0.08817,,,,,,,,,,,,,,,
1975-10,,,,,,,,,,,,,,,,,,,,,3.18567,,,,,,,,,,,,,,,
1975-11,,,,,,,,,,,,,,,,,,,,,-0.00855,,,,,,,,,,,,,,,
1975-12,,,,,,,,,,,,,,,,,,,,,1.83031,,,,,,,,,,,,,,,
1976-01,,,,,,,,,,,,,,,,,2.18,,,,1.12548,,,,,,,,,,,,,,,
1976-02,,,,,,,,,,,,,,,,,0.15659,,,,0.47342,,,,,,,,,,,,,,,
