Risk Objective,Strategy,Date,Asset Class,Sub Asset Class,Allocation
Conservative,Tactical,6/30/2021,Cash & Cash Equivalent,Cash & Cash Equivalent,4
Conservative,Tactical,6/30/2021,Fixed Income,Sovereign & Agency,40
Conservative,Tactical,6/30/2021,Fixed Income,Investment Grade,26
Conservative,Tactical,6/30/2021,Fixed Income,High Yield,10
Conservative,Tactical,6/30/2021,Fixed Income,International Developed,2
Conservative,Tactical,6/30/2021,Fixed Income,Emerging Market,5
Conservative,Tactical,6/30/2021,Equity,Large Cap,10
Conservative,Tactical,6/30/2021,Equity,European Equities,3
Conservative Plus,Tactical,6/30/2021,Cash & Cash Equivalent,Cash & Cash Equivalent,6.04
Conservative Plus,Tactical,6/30/2021,Fixed Income,Sovereign & Agency,15
Conservative Plus,Tactical,6/30/2021,Fixed Income,Investment Grade,17.25
Conservative Plus,Tactical,6/30/2021,Fixed Income,High Yield,8.75
Conservative Plus,Tactical,6/30/2021,Fixed Income,International Developed,3
Conservative Plus,Tactical,6/30/2021,Fixed Income,Emerging Market,5
Conservative Plus,Tactical,6/30/2021,Equity,Large Cap,5.75
Conservative Plus,Tactical,6/30/2021,Equity,Large Cap Value,6.65
Conservative Plus,Tactical,6/30/2021,Equity,Large Cap Growth,7.25
Conservative Plus,Tactical,6/30/2021,Equity,Small Cap,5.75
Conservative Plus,Tactical,6/30/2021,Equity,European Equities,6.76
Conservative Plus,Tactical,6/30/2021,Equity,Japan Equities,3.8
Conservative Plus,Tactical,6/30/2021,Equity,Emerging Market,6
Conservative Plus,Tactical,6/30/2021,Alternative Investments,Gold,3
Moderate,Tactical,6/30/2021,Cash & Cash Equivalent,Cash & Cash Equivalent,5.5
Moderate,Tactical,6/30/2021,Fixed Income,Sovereign & Agency,10
Moderate,Tactical,6/30/2021,Fixed Income,Investment Grade,4.5
Moderate,Tactical,6/30/2021,Fixed Income,High Yield,6
Moderate,Tactical,6/30/2021,Fixed Income,International Developed,3
Moderate,Tactical,6/30/2021,Fixed Income,Emerging Market,5
Moderate,Tactical,6/30/2021,Equity,Large Cap,8.75
Moderate,Tactical,6/30/2021,Equity,Large Cap Value,8.25
Moderate,Tactical,6/30/2021,Equity,Large Cap Growth,8.75
Moderate,Tactical,6/30/2021,Equity,Small Cap,8.7
Moderate,Tactical,6/30/2021,Equity,European Equities,9.3
Moderate,Tactical,6/30/2021,Equity,Japan Equities,5.25
Moderate,Tactical,6/30/2021,Equity,Emerging Market,10
