Risk Asset Class,Proxy Index,SecId,Year,Yearly Return (%)
Alternatives - Global Macro,JPM Global Macro C (acc) USD,F0GBR06GD1,2011,
Alternative - Liquid Alts,Wilshire Liq Alt Multi-strategy TR USD,F00000UPLF,2011,-1.62069
Alternatives - Hedge Funds,ASI HFRI-I Liquid Alternatives UCITS Q,F000012GR3,2011,
Cash,ICE BofA 3M US Trsy Note TR USD,XIUSA04CX9,2011,0.12125
Commodities - Commodities ex Precious Metals,Bloomberg Commodity ex Pre Metals TR USD,F00000QJY3,2011,-16.17828
Commodities - Gold,S&P GSCI Gold TR,FOUSA08P2O,2011,9.6334
Equity - Asia ex Japan (USD),MSCI AC Asia Ex Japan GR USD,XIUSA04EVO,2011,-17.0725
Equity - EU (USD),MSCI EU GR USD,XIUSA04F99,2011,-11.40251
Equity - Japan (USD),MSCI Japan 100% hedged to USD NR USD,F00000NVMK,2011,-18.49445
Equity - China A (USD),MSCI China A Inclusion 100% Heg USD,F000010N6A,2011,
Equity - US Large Cap,S&P 500 TR (1989),FOUSA06IBZ,2011,2.11178
Equity - US Large Cap Growth,Russell Top 200 Growth TR USD,XIUSA000KV,2011,4.63337
Equity - US Large Cap Value,Russell Top 200 Value TR USD,XIUSA000KW,2011,1.11547
Equity - US Small Cap,Russell Small Cap Complete Growth TR USD,XIUSA000P6,2011,-3.09374
Equity - Global ex US (USD),MSCI ACWI Ex USA NR USD,XIUSA04G85,2011,-13.70745
Equity - EM (USD),Morningstar MSCI Emerging Markets,FOUSA07WJK,2011,-12.64001
Fixed Income -Mortgage-Backed Assets,Bloomberg US MBS TR USD,XIUSA000MN,2011,6.23158
Fixed Income - US High Yield,Bloomberg US Corporate High Yield TR USD,XIUSA000C3,2011,4.98002
Fixed Income - US Investment Grade,Bloomberg 144A Investment Grade TR USD,FOUSA05Q1Y,2011,4.8411
Fixed Income - EM (USD),JPM EMBI Global Core TR USD,F00000OMB5,2011,8.02086
Fixed Income - US Treasury,Bloomberg US Government TR USD,XIUSA000MG,2011,9.02025
Fixed Income - EUR Treasury,Bloomberg EM Pan Euro Aggregate TR EUR,FOUSA05QHM,2011,0.47166
Fixed Income - EM Local CCY (USD Hedge),Bloomberg EM Local Issue TR USD,FOUSA05Q64,2011,3.86714
Fixed Income - GBP Gilts,Bloomberg Gilts Float Adjusted TR GBP,F000011QXV,2011,17.02493
Finxed Income - CAD,Bloomberg Canada Aggregate TR CAD,F00001492I,2011,10.00011
Fixed Income - AUD,Bloomberg Global Australia TR AUD,FOUSA08PF0,2011,14.51883
Fixed Income - JPY,Bloomberg Asian Pac Japanese Yen TR JPY,FOUSA06ROF,2011,1.84175
Fixed Income - MUST DELETE,ChinaBond Treasury-Bond Aggregate TR CNY,F00000YE2R,2011,6.90235
Equity - Preferred Stock,S&P Preferred Stock TR USD,FOUSA06M12,2011,-1.15869
Equity - REIT,FTSE EPRA Nareit Developed TR USD,FOUSA088P5,2011,-5.81822
Fixed Income - Aggregate,Bloomberg Global Aggregate TR USD,XIUSA000CU,2011,5.64296
Fixed Income - Short Duration,ICE BofA 1-3Y US Brd Mkt TR USD,F00000UKF7,2011,1.73304
Fixed Income - Sovereign & Agency,Bloomberg US Agg Govt Reltd TR USD,FOUSA05QJ3,2011,6.66962
Fixed Income - Municipals,Bloomberg Municipal TR USD,XIUSA000MO,2011,10.70014
Equity - Emerging Markets,MSCI EM GDP NR USD,FOUSA07A2L,2011,-19.32587
Fixed Income - China Treasury,Bloomberg China Aggregate TR USD,FOUSA08PEX,2011,9.20219
Alternatives - Global Macro,JPM Global Macro C (acc) USD,F0GBR06GD1,2012,
Alternative - Liquid Alts,Wilshire Liq Alt Multi-strategy TR USD,F00000UPLF,2012,3.43498
Alternatives - Hedge Funds,ASI HFRI-I Liquid Alternatives UCITS Q,F000012GR3,2012,
Cash,ICE BofA 3M US Trsy Note TR USD,XIUSA04CX9,2012,0.09964
Commodities - Commodities ex Precious Metals,Bloomberg Commodity ex Pre Metals TR USD,F00000QJY3,2012,-2.24673
Commodities - Gold,S&P GSCI Gold TR,FOUSA08P2O,2012,6.08137
Equity - Asia ex Japan (USD),MSCI AC Asia Ex Japan GR USD,XIUSA04EVO,2012,22.70429
Equity - EU (USD),MSCI EU GR USD,XIUSA04F99,2012,19.83771
Equity - Japan (USD),MSCI Japan 100% hedged to USD NR USD,F00000NVMK,2012,19.76245
Equity - China A (USD),MSCI China A Inclusion 100% Heg USD,F000010N6A,2012,
Equity - US Large Cap,S&P 500 TR (1989),FOUSA06IBZ,2012,16.00349
Equity - US Large Cap Growth,Russell Top 200 Growth TR USD,XIUSA000KV,2012,15.06441
Equity - US Large Cap Value,Russell Top 200 Value TR USD,XIUSA000KW,2012,17.00879
Equity - US Small Cap,Russell Small Cap Complete Growth TR USD,XIUSA000P6,2012,17.60928
Equity - Global ex US (USD),MSCI ACWI Ex USA NR USD,XIUSA04G85,2012,16.83027
Equity - EM (USD),Morningstar MSCI Emerging Markets,FOUSA07WJK,2012,13.97134
Fixed Income -Mortgage-Backed Assets,Bloomberg US MBS TR USD,XIUSA000MN,2012,2.59273
Fixed Income - US High Yield,Bloomberg US Corporate High Yield TR USD,XIUSA000C3,2012,15.8126
Fixed Income - US Investment Grade,Bloomberg 144A Investment Grade TR USD,FOUSA05Q1Y,2012,12.06705
Fixed Income - EM (USD),JPM EMBI Global Core TR USD,F00000OMB5,2012,18.62475
Fixed Income - US Treasury,Bloomberg US Government TR USD,XIUSA000MG,2012,2.02137
Fixed Income - EUR Treasury,Bloomberg EM Pan Euro Aggregate TR EUR,FOUSA05QHM,2012,17.3654
Fixed Income - EM Local CCY (USD Hedge),Bloomberg EM Local Issue TR USD,FOUSA05Q64,2012,3.72113
Fixed Income - GBP Gilts,Bloomberg Gilts Float Adjusted TR GBP,F000011QXV,2012,2.83144
Finxed Income - CAD,Bloomberg Canada Aggregate TR CAD,F00001492I,2012,3.26556
Fixed Income - AUD,Bloomberg Global Australia TR AUD,FOUSA08PF0,2012,5.47517
Fixed Income - JPY,Bloomberg Asian Pac Japanese Yen TR JPY,FOUSA06ROF,2012,1.73004
Fixed Income - MUST DELETE,ChinaBond Treasury-Bond Aggregate TR CNY,F00000YE2R,2012,2.72353
Equity - Preferred Stock,S&P Preferred Stock TR USD,FOUSA06M12,2012,18.64407
Equity - REIT,FTSE EPRA Nareit Developed TR USD,FOUSA088P5,2012,28.65046
Fixed Income - Aggregate,Bloomberg Global Aggregate TR USD,XIUSA000CU,2012,4.31869
Fixed Income - Short Duration,ICE BofA 1-3Y US Brd Mkt TR USD,F00000UKF7,2012,1.55208
Fixed Income - Sovereign & Agency,Bloomberg US Agg Govt Reltd TR USD,FOUSA05QJ3,2012,4.90309
Fixed Income - Municipals,Bloomberg Municipal TR USD,XIUSA000MO,2012,6.78003
Equity - Emerging Markets,MSCI EM GDP NR USD,FOUSA07A2L,2012,21.21704
Fixed Income - China Treasury,Bloomberg China Aggregate TR USD,FOUSA08PEX,2012,5.09742
Alternatives - Global Macro,JPM Global Macro C (acc) USD,F0GBR06GD1,2013,
Alternative - Liquid Alts,Wilshire Liq Alt Multi-strategy TR USD,F00000UPLF,2013,5.45391
Alternatives - Hedge Funds,ASI HFRI-I Liquid Alternatives UCITS Q,F000012GR3,2013,
Cash,ICE BofA 3M US Trsy Note TR USD,XIUSA04CX9,2013,0.09265
Commodities - Commodities ex Precious Metals,Bloomberg Commodity ex Pre Metals TR USD,F00000QJY3,2013,-5.84542
Commodities - Gold,S&P GSCI Gold TR,FOUSA08P2O,2013,-28.65431
